name,source,gender,wikidata,type
"Igreja e Recolhimento de Nossa Senhora do Patrocínio;Igreja e Recolhimento do Ferro",,,,relation
Ilha,,,,way
"Ilha 1",,,,way
"Ilha 2",,,,way
"Jardim Antero de Figueiredo",,,,way
"Jardins da Avenida de Montevideu",,,,way
"Largo Diocleciano Monteiro",,,,way
"Largo Doutor Pedro Vitorino",,,,way
"Largo Luís Braille",,,,way
"Largo Luís de Camões",,,,way
"Largo Padre Américo",,,,relation
"Largo Padre Inácio Gomes",,,,way
"Largo Padre José de Oliveira",,,,way
"Largo Palmira Malheiro",,,,way
"Largo Primeiro de Dezembro",,,,way
"Largo São Dionísio",,,,way
"Largo da Alfândega",,,,way
"Largo da Beneditina",,,,way
"Largo da Cruz",,,,way
"Largo da Esperança",,,,way
"Largo da Estação",,,,way
"Largo da Fontinha",,,,way
"Largo da Igreja",,,,way
"Largo da Igreja de Paranhos",,,,way
"Largo da Lada",,,,way
"Largo da Lapa",,,,way
"Largo da Maceda",,,,way
"Largo da Marquesa",,,,way
"Largo da Paz",,,,way
"Largo da Pena Ventosa",,,,way
"Largo da Porta do Olival",,,,way
"Largo da Póvoa de Varzim",,,,way
"Largo da Ramada Alta",,,,way
"Largo da Ramadinha",,,,way
"Largo de Alexandre Sá Pinto",,,,way
"Largo de Artur Arcos",,,,way
"Largo de Chaves de Oliveira",,,,way
"Largo de Ferreira Lapa",,,,way
"Largo de Godim",,,,way
"Largo de José Moreira da Silva",,,,way
"Largo de Mazagão",,,,way
"Largo de Mira",,,,way
"Largo de Mompilher",,,,way
"Largo de Nevogilde",,,,way
"Largo de Noeda",,,,way
"Largo de Pinto Correia",,,,way
"Largo de Primeiro de Dezembro",,,,way
"Largo de Santa Catarina",,,,way
"Largo de São Dinis",,,,way
"Largo de São Domingos",,,,way
"Largo de São João Novo",,,,way
"Largo de São Pedro",,,,way
"Largo de São Pedro de Miragaia",,,,way
"Largo de Soares dos Reis",,,,way
"Largo de Tomé Pires",,,,way
"Largo do Actor Dias",,,,way
"Largo do Adro",,,,way
"Largo do Anjo",,,,way
"Largo do Barredo",,,,way
"Largo do Bom Sucesso",,,,way
"Largo do Camarão",,,,way
"Largo do Campo Lindo",,,,way
"Largo do Capitão Pinheiro Torres de Meireles",,,,way
"Largo do Cativo",,,,relation
"Largo do Corpo da Guarda",,,,way
"Largo do Cruzinho",,,,way
"Largo do Curso Silva Monteiro 55",,,,way
"Largo do Doutor Pedro Vitorino",,,,way
"Largo do Doutor Tito Fontes",,,,relation+way
"Largo do Duque da Ribeira",,,,way
"Largo do Engenheiro António de Almeida",,,,way
"Largo do Leal",,,,way
"Largo do Maestro Miguel Ângelo",,,,way
"Largo do Moinho de Vento",,,,way
"Largo do Padrão",,,,way
"Largo do Padre Américo",,,,way
"Largo do Padre Baltazar Guedes",,,,way
"Largo do Pinheiro",,,,way
"Largo do Priorado",,,,way
"Largo do Professor Abel Salazar",,,,way
"Largo do Professor João Baptista",,,,way
"Largo do Rio da Bica",,,,way
"Largo do Terreirinho",,,,way
"Largo do Terreiro",,,,way
"Largo do Viriato",,,,way
"Largo dos Afectos",,,,way
"Largo dos Arcos da Ribeira",,,,way
"Largo dos Cisnes",,,,way
"Largo dos Lóios",,,,relation+way
Levada,,,,relation
"Meia Laranja",,,,way
Metrobus,,,,way
"Miradouro da Bataria da Vitória",,,,way
"Miradouro da Nora",,,,way
"Miradouro do Atlântico",,,,way
"Monte da Luz",,,,way
"Muro dos Bacalhoeiros",,,,way
"Nó das Areias",,,,way
"Nó de Bonjóia",,,,way
"Nó de Paranhos",,,,way
"Nó do Freixo",,,,way
"Nó do Mercado Abastecedor",,,,way
"Passadiço do Parque Oriental",,,,way
"Passagem Inferior Pedonal - Norte",,,,way
"Passagem Inferior Pedonal - Sul",,,,way
"Passagem Superior",,,,way
"Passeio Manoel de Oliveira",,,,way
"Passeio da Levada",,,,way
"Passeio das Fontaínhas",,,,way
"Passeio das Virtudes",,,,way
"Passeio de São Lázaro",,,,way
"Passeio dos Clérigos",,,,way
"Pátio São Salvador",,,,way
"Pátio das Escadas do Monte dos Judeus",,,,way
"Pátio das Japoneiras",,,,way
"Pátio de São Dionísio",,,,way
"Pérgula do Molhe",,,,way
"Ponte Dom António Francisco dos Santos",,,,way
"Ponte DomAntónio Francisco dos Santos",,,,way
"Ponte das Andresas",,,,way
"Ponte de Tirares",,,,way
"Ponte do Freixo",,,,way
"Ponte do Gato",,,,way
"Praça Coronel Pacheco",,,,way
"Praça Formosa",,,,way
"Praça General Humberto Delgado",,,,way
"Praça Guilherme Gomes Fernandes",,,,way
"Praça da Alegria",,,,way
"Praça da Batalha",,,,way
"Praça da Corujeira",,,,way
"Praça da Ilha Brava",,,,way
"Praça da Liberdade",,,,relation+way
"Praça da Pedra Verde",,,,way
"Praça da Rainha Dona Amélia",,,,way
"Praça da República",,,,way
"Praça da Ribeira",,,,relation+way
"Praça das Cardosas",,,,way
"Praça das Flores",,,,way
"Praça das Gardénias",,,,way
"Praça das Violetas",,,,way
"Praça de Afonso Pinto de Magalhães",,,,way
"Praça de Campo Grande",,,,way
"Praça de Dom Afonso V",,,,way
"Praça de Goa",,,,way
"Praça de Gomes Teixeira",,,,relation+way
"Praça de Guilherme Gomes Fernandes",,,,way
"Praça de Liège",,,,way
"Praça de Liége",,,,way
"Praça de Lisboa",,,,way
"Praça de Nove de Abril",,,,way
"Praça de Nunalvares",,,,way
"Praça de Pedro Nunes",,,,way
"Praça de Teixeira de Pascoais",,,,way
"Praça do Bom Sucesso",,,,way
"Praça do Cávado",,,,way
"Praça do Conde de Samodães",,,,way
"Praça do Exército Libertador",,,,relation
"Praça do Rosmaninho",,,,way
"Praça dos Álamos",,,,way
"Praça dos Poveiros",,,,way
"Praceta Bernarda Ferreira Lacerda",,,,way
"Praceta Eduardo Soares",,,,way
"Praceta Elaine Sanceau",,,,way
"Praceta Ernesto Veiga de Oliveira",,,,way
"Praceta Francisco Borges",,,,way
"Praceta João Glama",,,,way
"Praceta José Luís Nunes",,,,way
"Praceta José Serra",,,,way
"Praceta Luís António Verney",,,,way
"Praceta Maestro Resende Dias",,,,way
"Praceta Públia Hortênsia",,,,way
"Praceta Ribeiro Sanches",,,,way
"Praceta Vítor Hugo",,,,way
"Praceta da Banda de Ramalde",,,,way
"Praceta da Cidade da Praia",,,,way
"Praceta das Mimosas",,,,way
"Praceta de João Augusto Ribeiro",,,,way
"Praceta de José Régio",,,,way
"Praceta de Publia Hortência",,,,way
"Praceta de Públia Hortência",,,,way
"Praceta do Doutor Jaime Cortesão",,,,way
"Praceta do Maestro Afonso Valentim",,,,way
"Praceta do Mestre de Avis",,,,way
"Praceta do Orfeão da Foz",,,,way
"Praceta do Professor Egas Moniz",,,,way
"Praia dos Ingleses",,,,way
"Quinta da Prelada",,,,relation
